date,home_team,score,away_team
03-10-2022,Leicester,4 - 0,Nott'm Forest
10-10-2022,Nott'm Forest,01-Jan,Aston Villa
15-10-2022,Wolves,1 - 0,Nott'm Forest
18-10-2022,Brighton,0 - 0,Nott'm Forest
22-10-2022,Nott'm Forest,1 - 0,Liverpool
30-10-2022,Arsenal,5 - 0,Nott'm Forest
05-11-2022,Nott'm Forest,02-Feb,Brentford
12-11-2022,Nott'm Forest,1 - 0,Crystal Palace
27-12-2022,Man United,3 - 0,Nott'm Forest
01-01-2023,Nott'm Forest,01-Jan,Chelsea
04-01-2023,Southampton,0 - 1,Nott'm Forest
14-01-2023,Nott'm Forest,2 - 0,Leicester
21-01-2023,Bournemouth,01-Jan,Nott'm Forest
05-02-2023,Nott'm Forest,1 - 0,Leeds
11-02-2023,Fulham,2 - 0,Nott'm Forest
18-02-2023,Nott'm Forest,01-Jan,Man City
25-02-2023,West Ham,4 - 0,Nott'm Forest
05-03-2023,Nott'm Forest,02-Feb,Everton
11-03-2023,Tottenham,03-Jan,Nott'm Forest
17-03-2023,Nott'm Forest,01-Feb,Newcastle
01-04-2023,Nott'm Forest,01-Jan,Wolves
04-04-2023,Leeds,02-Jan,Nott'm Forest
08-04-2023,Aston Villa,2 - 0,Nott'm Forest
16-04-2023,Nott'm Forest,0 - 2,Man United
22-04-2023,Liverpool,03-Feb,Nott'm Forest
26-04-2023,Nott'm Forest,03-Jan,Brighton
29-04-2023,Brentford,02-Jan,Nott'm Forest
08-05-2023,Nott'm Forest,04-Mar,Southampton
13-05-2023,Chelsea,02-Feb,Nott'm Forest
20-05-2023,Nott'm Forest,1 - 0,Arsenal
28-05-2023,Crystal Palace,01-Jan,Nott'm Forest
06-08-2022,Tottenham,04-Jan,Southampton
13-08-2022,Southampton,02-Feb,Leeds
20-08-2022,Leicester,01-Feb,Southampton
27-08-2022,Southampton,0 - 1,Man United
30-08-2022,Southampton,02-Jan,Chelsea
03-09-2022,Wolves,1 - 0,Southampton
16-09-2022,Aston Villa,1 - 0,Southampton
01-10-2022,Southampton,01-Feb,Everton
08-10-2022,Man City,4 - 0,Southampton
16-10-2022,Southampton,01-Jan,West Ham
19-10-2022,Bournemouth,0 - 1,Southampton
23-10-2022,Southampton,01-Jan,Arsenal
29-10-2022,Crystal Palace,1 - 0,Southampton
06-11-2022,Southampton,01-Apr,Newcastle
12-11-2022,Liverpool,03-Jan,Southampton
26-12-2022,Southampton,01-Mar,Brighton
31-12-2022,Fulham,02-Jan,Southampton
04-01-2023,Southampton,0 - 1,Nott'm Forest
14-01-2023,Everton,01-Feb,Southampton
21-01-2023,Southampton,0 - 1,Aston Villa
04-02-2023,Brentford,3 - 0,Southampton
11-02-2023,Southampton,01-Feb,Wolves
18-02-2023,Chelsea,0 - 1,Southampton
25-02-2023,Leeds,1 - 0,Southampton
04-03-2023,Southampton,1 - 0,Leicester
12-03-2023,Man United,0 - 0,Southampton
15-03-2023,Southampton,0 - 2,Brentford
18-03-2023,Southampton,03-Mar,Tottenham
02-04-2023,West Ham,1 - 0,Southampton
08-04-2023,Southampton,01-Apr,Man City
15-04-2023,Southampton,0 - 2,Crystal Palace
21-04-2023,Arsenal,03-Mar,Southampton
27-04-2023,Southampton,0 - 1,Bournemouth
30-04-2023,Newcastle,03-Jan,Southampton
08-05-2023,Nott'm Forest,04-Mar,Southampton
13-05-2023,Southampton,0 - 2,Fulham
21-05-2023,Brighton,03-Jan,Southampton
28-05-2023,Southampton,04-Apr,Liverpool
06-08-2022,Tottenham,04-Jan,Southampton
14-08-2022,Chelsea,02-Feb,Tottenham
20-08-2022,Tottenham,1 - 0,Wolves
28-08-2022,Nott'm Forest,0 - 2,Tottenham
31-08-2022,West Ham,01-Jan,Tottenham
03-09-2022,Tottenham,02-Jan,Fulham
17-09-2022,Tottenham,06-Feb,Leicester
01-10-2022,Arsenal,03-Jan,Tottenham
08-10-2022,Brighton,0 - 1,Tottenham
15-10-2022,Tottenham,2 - 0,Everton
19-10-2022,Man United,2 - 0,Tottenham
23-10-2022,Tottenham,01-Feb,Newcastle
29-10-2022,Bournemouth,02-Mar,Tottenham
06-11-2022,Tottenham,01-Feb,Liverpool
12-11-2022,Tottenham,04-Mar,Leeds
26-12-2022,Brentford,02-Feb,Tottenham
01-01-2023,Tottenham,0 - 2,Aston Villa
04-01-2023,Crystal Palace,0 - 4,Tottenham
15-01-2023,Tottenham,0 - 2,Arsenal
19-01-2023,Man City,04-Feb,Tottenham
23-01-2023,Fulham,0 - 1,Tottenham
05-02-2023,Tottenham,1 - 0,Man City
11-02-2023,Leicester,04-Jan,Tottenham
19-02-2023,Tottenham,2 - 0,West Ham
26-02-2023,Tottenham,2 - 0,Chelsea
04-03-2023,Wolves,1 - 0,Tottenham
11-03-2023,Tottenham,03-Jan,Nott'm Forest
18-03-2023,Southampton,03-Mar,Tottenham
03-04-2023,Everton,01-Jan,Tottenham
08-04-2023,Tottenham,02-Jan,Brighton
15-04-2023,Tottenham,02-Mar,Bournemouth
23-04-2023,Newcastle,06-Jan,Tottenham
27-04-2023,Tottenham,02-Feb,Man United
30-04-2023,Liverpool,04-Mar,Tottenham
06-05-2023,Tottenham,1 - 0,Crystal Palace
13-05-2023,Aston Villa,02-Jan,Tottenham
20-05-2023,Tottenham,01-Mar,Brentford
28-05-2023,Leeds,01-Apr,Tottenham
07-08-2022,West Ham,0 - 2,Man City
14-08-2022,Nott'm Forest,1 - 0,West Ham
21-08-2022,West Ham,0 - 2,Brighton
28-08-2022,Aston Villa,0 - 1,West Ham
31-08-2022,West Ham,01-Jan,Tottenham
03-09-2022,Chelsea,02-Jan,West Ham
18-09-2022,Everton,1 - 0,West Ham
01-10-2022,West Ham,2 - 0,Wolves
09-10-2022,West Ham,03-Jan,Fulham
16-10-2022,Southampton,01-Jan,West Ham
19-10-2022,Liverpool,1 - 0,West Ham
24-10-2022,West Ham,2 - 0,Bournemouth
30-10-2022,Man United,1 - 0,West Ham
06-11-2022,West Ham,01-Feb,Crystal Palace
12-11-2022,West Ham,0 - 2,Leicester
26-12-2022,Arsenal,03-Jan,West Ham
30-12-2022,West Ham,0 - 2,Brentford
04-01-2023,Leeds,02-Feb,West Ham
14-01-2023,Wolves,1 - 0,West Ham
21-01-2023,West Ham,2 - 0,Everton
04-02-2023,Newcastle,01-Jan,West Ham
11-02-2023,West Ham,01-Jan,Chelsea
19-02-2023,Tottenham,2 - 0,West Ham
25-02-2023,West Ham,4 - 0,Nott'm Forest
04-03-2023,Brighton,4 - 0,West Ham
12-03-2023,West Ham,01-Jan,Aston Villa
02-04-2023,West Ham,1 - 0,Southampton
05-04-2023,West Ham,01-May,Newcastle
08-04-2023,Fulham,0 - 1,West Ham
16-04-2023,West Ham,02-Feb,Arsenal
23-04-2023,Bournemouth,0 - 4,West Ham
26-04-2023,West Ham,01-Feb,Liverpool
29-04-2023,Crystal Palace,04-Mar,West Ham
03-05-2023,Man City,3 - 0,West Ham
07-05-2023,West Ham,1 - 0,Man United
14-05-2023,Brentford,2 - 0,West Ham
21-05-2023,West Ham,03-Jan,Leeds
28-05-2023,Leicester,02-Jan,West Ham
06-08-2022,Leeds,02-Jan,Wolves
13-08-2022,Wolves,0 - 0,Fulham
20-08-2022,Tottenham,1 - 0,Wolves
28-08-2022,Wolves,01-Jan,Newcastle
31-08-2022,Bournemouth,0 - 0,Wolves
03-09-2022,Wolves,1 - 0,Southampton
17-09-2022,Wolves,0 - 3,Man City
01-10-2022,West Ham,2 - 0,Wolves
08-10-2022,Chelsea,3 - 0,Wolves
15-10-2022,Wolves,1 - 0,Nott'm Forest
18-10-2022,Crystal Palace,02-Jan,Wolves
23-10-2022,Wolves,0 - 4,Leicester
29-10-2022,Brentford,01-Jan,Wolves
05-11-2022,Wolves,02-Mar,Brighton
12-11-2022,Wolves,0 - 2,Arsenal
26-12-2022,Everton,01-Feb,Wolves
31-12-2022,Wolves,0 - 1,Man United
04-01-2023,Aston Villa,01-Jan,Wolves
14-01-2023,Wolves,1 - 0,West Ham
22-01-2023,Man City,3 - 0,Wolves
04-02-2023,Wolves,3 - 0,Liverpool
11-02-2023,Southampton,01-Feb,Wolves
18-02-2023,Wolves,0 - 1,Bournemouth
24-02-2023,Fulham,01-Jan,Wolves
01-03-2023,Liverpool,2 - 0,Wolves
04-03-2023,Wolves,1 - 0,Tottenham
12-03-2023,Newcastle,02-Jan,Wolves
18-03-2023,Wolves,02-Apr,Leeds
01-04-2023,Nott'm Forest,01-Jan,Wolves
08-04-2023,Wolves,1 - 0,Chelsea
15-04-2023,Wolves,2 - 0,Brentford
22-04-2023,Leicester,02-Jan,Wolves
25-04-2023,Wolves,2 - 0,Crystal Palace
29-04-2023,Brighton,6 - 0,Wolves
06-05-2023,Wolves,1 - 0,Aston Villa
13-05-2023,Man United,2 - 0,Wolves
20-05-2023,Wolves,01-Jan,Everton
28-05-2023,Arsenal,5 - 0,Wolves
